index,file,target_1,target_2,selection
1,batch_patch_1_0.wav,Batch,Patch,
2,batch_patch_1_1.wav,Batch,Patch,
3,batch_patch_1_2.wav,Batch,Patch,
4,batch_patch_1_3.wav,Batch,Patch,
5,batch_patch_1_4.wav,Batch,Patch,
6,batch_patch_1_5.wav,Batch,Patch,
7,batch_patch_1_6.wav,Batch,Patch,
8,batch_patch_1_7.wav,Batch,Patch,
9,batch_patch_1_8.wav,Batch,Patch,
10,batch_patch_1_9.wav,Batch,Patch,
11,batch_patch_1_10.wav,Batch,Patch,
12,batch_patch_3_0.wav,Batch,Patch,
13,batch_patch_3_1.wav,Batch,Patch,
14,batch_patch_3_2.wav,Batch,Patch,
15,batch_patch_3_3.wav,Batch,Patch,
16,batch_patch_3_4.wav,Batch,Patch,
17,batch_patch_3_5.wav,Batch,Patch,
18,batch_patch_3_6.wav,Batch,Patch,
19,batch_patch_3_7.wav,Batch,Patch,
20,batch_patch_3_8.wav,Batch,Patch,
21,batch_patch_3_9.wav,Batch,Patch,
22,batch_patch_3_10.wav,Batch,Patch,
23,dime_time_1_0.wav,Dime,Time,
24,dime_time_1_1.wav,Dime,Time,
25,dime_time_1_2.wav,Dime,Time,
26,dime_time_1_3.wav,Dime,Time,
27,dime_time_1_4.wav,Dime,Time,
28,dime_time_1_5.wav,Dime,Time,
29,dime_time_1_6.wav,Dime,Time,
30,dime_time_1_7.wav,Dime,Time,
31,dime_time_1_8.wav,Dime,Time,
32,dime_time_1_9.wav,Dime,Time,
33,dime_time_1_10.wav,Dime,Time,
34,hide_height_1_0.wav,Hide,Height,
35,hide_height_1_1.wav,Hide,Height,
36,hide_height_1_2.wav,Hide,Height,
37,hide_height_1_3.wav,Hide,Height,
38,hide_height_1_4.wav,Hide,Height,
39,hide_height_1_5.wav,Hide,Height,
40,hide_height_1_6.wav,Hide,Height,
,hide_height_1_7.wav,Hide,Height,
,hide_height_1_8.wav,Hide,Height,
,hide_height_1_9.wav,Hide,Height,
,hide_height_1_10.wav,Hide,Height,
,send_sent_1_0.wav,Send,Sent,
,send_sent_1_1.wav,Send,Sent,
,send_sent_1_2.wav,Send,Sent,
,send_sent_1_3.wav,Send,Sent,
,send_sent_1_4.wav,Send,Sent,
,send_sent_1_5.wav,Send,Sent,
,send_sent_1_6.wav,Send,Sent,
,send_sent_1_7.wav,Send,Sent,
,send_sent_1_8.wav,Send,Sent,
,send_sent_1_9.wav,Send,Sent,
,send_sent_1_10.wav,Send,Sent,